player_name,pitcher,pitches,confidence,plv,plv_pctile,swing_pct,whiff_pct,cs_pct,xwoba_model,rolling_plv_30d,rolling_pitches_30d,rolling_trend_pitcher,tag
Jacob Misiorowski,694819,2169,Tier A,5.898,100.0,0.538,0.429,0.513,0.336,6.144,358,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Josh Hader,623352,475,Tier B,5.836,99.9,0.517,0.412,0.464,0.338,5.736,185,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Tanner Scott,656945,771,Tier B,5.766,99.7,0.514,0.425,0.491,0.34,5.788,197,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Jack Dreyer,676263,839,Tier B,5.586,99.6,0.481,0.388,0.498,0.335,5.565,193,hot,PLV elite (top 10%); rolling also strong; recent form improving
Louis Varland,686973,1019,Tier A,5.58,99.4,0.519,0.428,0.467,0.322,5.55,213,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Trevor Megill,656730,693,Tier B,5.563,99.3,0.515,0.374,0.499,0.335,5.351,109,hot,PLV elite (top 10%); rolling also strong; recent form improving
Mason Miller,695243,847,Tier B,5.561,99.1,0.484,0.408,0.453,0.325,5.504,200,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Chase Burns,695505,2306,Tier A,5.532,99.0,0.508,0.416,0.452,0.323,5.535,561,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Josh Ekness,694795,249,Tier C,5.532,98.8,0.482,0.401,0.506,0.33,5.639,122,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Mason Montgomery,682254,899,Tier B,5.53,98.7,0.518,0.409,0.489,0.339,5.757,189,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Jacob Degrom,594798,2024,Tier A,5.523,98.5,0.502,0.404,0.47,0.327,5.591,322,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Blake Snell,605483,251,Tier C,5.521,98.4,0.478,0.41,0.415,0.319,5.606,174,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Paul Sewald,623149,687,Tier B,5.518,98.2,0.507,0.344,0.528,0.345,5.554,109,hot,PLV elite (top 10%); rolling also strong; recent form improving
Cade Smith,671922,1010,Tier A,5.513,98.1,0.526,0.387,0.491,0.34,5.682,200,hot,PLV elite (top 10%); rolling also strong; recent form improving
Daniel Espino,682982,120,Tier C,5.495,97.9,0.474,0.347,0.453,0.325,5.213,54,hot,PLV elite (top 10%); rolling also strong; recent form improving
Andrew Nardi,677053,395,Tier C,5.483,97.8,0.515,0.391,0.498,0.335,5.368,26,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Didier Fuentes,800311,985,Tier B,5.483,97.6,0.502,0.352,0.517,0.346,5.678,229,hot,PLV elite (top 10%); rolling also strong; recent form improving
Erik Sabrowski,681870,627,Tier B,5.463,97.5,0.47,0.372,0.475,0.348,5.362,114,hot,PLV elite (top 10%); rolling also strong; recent form improving
Craig Kimbrel,518886,624,Tier B,5.462,97.3,0.464,0.389,0.446,0.337,5.381,114,hot,PLV elite (top 10%); rolling also strong; recent form improving
Jeremiah Estrada,669093,512,Tier B,5.46,97.2,0.492,0.43,0.424,0.324,5.35,174,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Kyle Harrison,690986,1777,Tier A,5.449,97.0,0.499,0.341,0.509,0.354,5.388,238,hot,PLV elite (top 10%); rolling also strong; recent form improving
Evan Phillips,623465,234,Tier C,5.436,96.9,0.492,0.346,0.501,0.343,5.485,152,hot,PLV elite (top 10%); rolling also strong; recent form improving
Ryan Helsley,664854,303,Tier C,5.434,96.7,0.457,0.447,0.446,0.323,5.134,21,flat,PLV elite (top 10%); elite whiff rate
Gus Varland,681402,589,Tier B,5.431,96.6,0.514,0.367,0.513,0.342,5.402,28,hot,PLV elite (top 10%); rolling also strong; recent form improving
Michael Petersen,656848,889,Tier B,5.428,96.4,0.531,0.372,0.473,0.332,5.518,175,hot,PLV elite (top 10%); rolling also strong; recent form improving
Devin Williams,642207,728,Tier B,5.422,96.3,0.495,0.383,0.442,0.33,5.293,104,hot,PLV elite (top 10%); rolling also strong; recent form improving
Chad Dallas,689149,156,Tier C,5.41,96.1,0.45,0.444,0.372,0.313,5.478,74,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Jacob Latz,656641,894,Tier B,5.402,96.0,0.494,0.385,0.481,0.342,5.392,183,hot,PLV elite (top 10%); rolling also strong; recent form improving
Connor Phillips,683175,577,Tier B,5.397,95.8,0.437,0.399,0.464,0.331,5.301,28,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Tyler Zuber,676604,476,Tier B,5.391,95.7,0.495,0.347,0.523,0.34,5.475,215,hot,PLV elite (top 10%); rolling also strong; recent form improving
David Bednar,670280,949,Tier B,5.388,95.5,0.517,0.394,0.454,0.33,5.43,236,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Alex Vesia,681911,807,Tier B,5.387,95.4,0.497,0.357,0.462,0.319,5.297,176,hot,PLV elite (top 10%); rolling also strong; recent form improving
Eury Pérez,691587,2074,Tier A,5.386,95.2,0.478,0.362,0.474,0.326,5.322,492,hot,PLV elite (top 10%); rolling also strong; recent form improving
Ben Casparius,676508,131,Tier C,5.378,95.1,0.473,0.388,0.433,0.318,5.487,26,hot,PLV elite (top 10%); rolling also strong; recent form improving
